countryID,estPopSize,popDensity,rateIncrease,lifeExpectancy,mortalityRate,fertilityRate
20,11.5393,381.0875,0.628,80.524,3.4560000000000004,1.7807
29,211.0495,25.2508,0.8759999999999999,74.342,15.793,1.77
38,37.411,4.114,1.071,81.78699999999998,4.647,1.601
44,1433.7837,152.7217,0.5479999999999999,75.14,12.276,1.64
76,65.1297,118.946,0.494,81.939,3.4930000000000003,1.9809
82,83.51700000000002,239.6059,0.236,80.445,3.357,1.4269999999999998
101,82.9139,50.9127,1.243,75.044,15.161,1.91
106,60.5501,205.8546,0.418,82.35600000000002,3.0380000000000003,1.421
147,17.0971,507.0323,0.304,81.305,3.457,1.732
167,10.2262,111.6518,-0.434,80.622,2.948,1.2831
199,46.7368,93.6984,-0.111,82.506,2.879,1.3252
205,8.5914,217.4148,1.213,82.691,3.893,1.5258
215,83.4296,108.4022,1.646,75.592,11.835,2.121
222,67.5302,279.131,0.743,80.867,4.058,1.8662
224,329.0649,35.9735,0.754,78.941,5.959,1.875
