countryId,migrantPercentOfPop,numRefugeesAndAsylum,tourismExp,numTourists
20,11.0979,83467.0000,9636.0000,9119.0000
29,0.3515,143912.0000,6175.0000,6621.0000
38,21.4646,177743.0000,NULL,21134.0000
44,0.0709,322431.0000,38559.0000,62900.0000
76,12.1620,424021.0000,67936.0000,89322.0000
82,14.8148,1430223.0000,56330.0000,38881.0000
101,3.3256,979521.0000,4632.0000,7295.0000
106,9.9519,313498.0000,46719.0000,61567.2000
147,12.0717,111898.0000,23414.0000,18780.0000
167,8.5211,1894.0000,21586.0000,16186.0000
199,12.8297,67852.0000,75906.0000,82773.0000
205,29.5705,117755.0000,19654.0000,10362.0000
215,6.0462,3923322.0000,31870.0000,45768.0000
222,13.3598,157159.0000,47719.0000,36316.0000
224,15.3415,956883.0000,251544.0000,79745.9180
